id;finsat;objfinlit;subfinlit;optfinbeh;finatt;finlitindex;recfined;age18;age24;age44;age64;female;education;married;children;income_high;income_low;country
299;6;10;4;10;6;26;1;0;1;0;0;1;1;0;0;0;1;0
300;6;6;6;10;5;21;1;0;1;0;0;1;0;0;0;0;0;0
301;1;6;5;0;5;11;0;0;0;1;0;1;1;1;1;0;0;0
302;2;6;2;5;2;13;0;0;0;1;0;1;1;0;0;0;0;0
303;2;6;5;2,5;3;11,5;0;0;0;0;0;1;1;1;1;0;0;0
304;4;6;4;7,5;8;21,5;1;0;1;0;0;1;1;0;0;0;0;0
305;1;2;1;2,5;2;6,5;0;0;0;0;0;1;1;1;1;0;0;0
306;7;4;6;7,5;2;13,5;1;0;1;0;0;1;1;0;0;0;0;0
307;6;4;7;2,5;7;13,5;0;0;0;1;0;1;1;1;1;1;0;0
308;2;6;2;7,5;3;16,5;0;0;0;1;0;1;1;0;0;0;0;0
309;6;8;7;2,5;10;20,5;1;0;1;0;0;1;1;0;0;1;0;0
310;8;8;9;7,5;9;24,5;1;0;0;1;0;0;1;1;1;1;0;1
311;3;6;2;0;6;12;0;0;1;0;0;1;1;0;0;0;0;0
312;4;2;4;7,5;3;12,5;0;0;0;1;0;1;1;1;1;0;0;0
313;7;10;9;10;8;28;1;0;0;1;0;0;1;1;1;1;0;1
314;6;6;8;7,5;10;23,5;0;0;0;1;0;0;1;0;0;1;0;0
315;1;8;7;7,5;5;20,5;1;0;1;0;0;1;1;0;0;0;1;1
316;6;6;7;5;8;19;1;0;0;1;0;1;1;0;0;0;0;1
317;3;4;6;0;6;10;0;0;0;1;0;1;0;1;1;0;0;0
